Artist,Song Name,file,cover
方大同,四人遊,./data/mp3/pop/01.mp3,./data/images/pop/01_cover.jpg
薛凱琪,9:55 PM,./data/mp3/pop/02.mp3,./data/images/pop/02_cover.jpg
王菀之,大笨鐘,./data/mp3/pop/03.mp3,./data/images/pop/03_cover.jpg
連詩雅,到此為止,./data/mp3/pop/04.mp3,./data/images/pop/04_cover.jpg
J.Arie,第一志願,./data/mp3/pop/05.mp3,./data/images/pop/05_cover.jpg
陳奕迅,重口味,./data/mp3/pop/06.mp3,./data/images/pop/06_cover.jpg
陳奕迅,今天等我來,./data/mp3/pop/07.mp3,./data/images/pop/07_cover.jpg
陳奕迅,夕陽無限好,./data/mp3/pop/08.mp3,./data/images/pop/08_cover.jpg
Rubberband,睜開眼,./data/mp3/pop/09.mp3,./data/images/pop/09_cover.jpg
Rubberband,阿波羅,./data/mp3/pop/10.mp3,./data/images/pop/10_cover.jpg
羅力威,雙子情歌,./data/mp3/pop/11.mp3,./data/images/pop/11_cover.jpg
古巨基,戀無可戀,./data/mp3/pop/12.mp3,./data/images/pop/12_cover.jpg
AKB48,So long!,./data/mp3/pop/13.mp3,./data/images/pop/13_cover.jpg
Hari,Gwiyomi Song,./data/mp3/pop/14.mp3,./data/images/pop/14_cover.jpg
PSY,Gangnam style,./data/mp3/pop/15.mp3,./data/images/pop/15_cover.jpg
G.E.M.,A.I.N.Y.,./data/mp3/pop/16.mp3,./data/images/pop/16_cover.jpg
G.E.M.,奇蹟,./data/mp3/pop/17.mp3,./data/images/pop/17_cover.jpg
五月天,我不願讓你一個人,./data/mp3/pop/18.mp3,./data/images/pop/18_cover.jpg
周杰倫,明明就,./data/mp3/pop/19.mp3,./data/images/pop/19_cover.jpg
曲婉婷,我的歌聲裡,./data/mp3/pop/20.mp3,./data/images/pop/20_cover.jpg
Eminem ft Rihanna,Love The Way You Lie,./data/mp3/pop/21.mp3,./data/images/pop/21_cover.jpg
Micheal Jackson,Beat it,./data/mp3/pop/22.mp3,./data/images/pop/22_cover.jpg
Westlife,My Love,./data/mp3/pop/23.mp3,./data/images/pop/23_cover.jpg
Lady gaga,Bad Romance,./data/mp3/pop/24.mp3,./data/images/pop/24_cover.jpg
Carly Rae Jepsen,Call me maybe,./data/mp3/pop/25.mp3,./data/images/pop/25_cover.jpg
Maroon 5,payphone,./data/mp3/pop/26.mp3,./data/images/pop/26_cover.jpg
Madonna,Like A Virgin ,./data/mp3/pop/27.mp3,./data/images/pop/27_cover.jpg
Bruno mars,the lazy song,./data/mp3/pop/28.mp3,./data/images/pop/28_cover.jpg
LMFAO,Party Rock Anthem,./data/mp3/pop/29.mp3,./data/images/pop/29_cover.jpg
Adele,Rolling in the deep,./data/mp3/pop/30.mp3,./data/images/pop/30_cover.jpg
Justin Bieber,Baby,./data/mp3/pop/31.mp3,./data/images/pop/31_cover.jpg
