Artist,Song Name,file,cover
Led Zeppelin,stairway to heaven,./data/mp3/rock/01.mp3,./data/images/rock/01_cover.jpg
Beyond,我是憤怒,./data/mp3/rock/02.mp3,./data/images/rock/02_cover.jpg
黃貫中,無得比,./data/mp3/rock/03.mp3,./data/images/rock/03_cover.jpg
太極,紅色跑車,./data/mp3/rock/04.mp3,./data/images/rock/04_cover.jpg
Rednoon,英識搖滾,./data/mp3/rock/05.mp3,./data/images/rock/05_cover.jpg
周國賢,搖滾叛徒,./data/mp3/rock/06.mp3,./data/images/rock/06_cover.jpg
Mr.,搖擺,./data/mp3/rock/07.mp3,./data/images/rock/07_cover.jpg
Mr.,黑色狂迷,./data/mp3/rock/08.mp3,./data/images/rock/08_cover.jpg
Mr.,如果我是陳奕迅,./data/mp3/rock/09.mp3,./data/images/rock/09_cover.jpg
LMF,大懶堂,./data/mp3/rock/10.mp3,./data/images/rock/10_cover.jpg
Supper Moment,最後晚餐,./data/mp3/rock/11.mp3,./data/images/rock/11_cover.jpg
Dear Jean,逼,./data/mp3/rock/12.mp3,./data/images/rock/12_cover.jpg
The Rolling Stones,Doom And Gloom,./data/mp3/rock/13.mp3,./data/images/rock/13_cover.jpg
Blur,Song 2,./data/mp3/rock/14.mp3,./data/images/rock/14_cover.jpg
Red Hot Chili Peppers,Californication,./data/mp3/rock/15.mp3,./data/images/rock/15_cover.jpg
Oasis,Wonderwall,./data/mp3/rock/16.mp3,./data/images/rock/16_cover.jpg
Nirvana,Smells Like Teen Spirit,./data/mp3/rock/17.mp3,./data/images/rock/17_cover.jpg
Bon Jovi,Have A Nice Day,./data/mp3/rock/18.mp3,./data/images/rock/18_cover.jpg
Metallica,Enter Sandman,./data/mp3/rock/19.mp3,./data/images/rock/19_cover.jpg
Queen;David Bowie,Under Pressure,./data/mp3/rock/20.mp3,./data/images/rock/20_cover.jpg
Dear Jane,Yellow Fever,./data/mp3/rock/21.mp3,./data/images/rock/21_cover.jpg
suede,The Beautiful Ones,./data/mp3/rock/22.mp3,./data/images/rock/22_cover.jpg
謝霆鋒,潛龍勿用,./data/mp3/rock/23.mp3,./data/images/rock/23_cover.jpg
盧凱彤,誰,./data/mp3/rock/24.mp3,./data/images/rock/24_cover.jpg
周國賢,地下街,./data/mp3/rock/25.mp3,./data/images/rock/25_cover.jpg
太極,暴風紅唇,./data/mp3/rock/26.mp3,./data/images/rock/26_cover.jpg
五月天,離開地球表面,./data/mp3/rock/27.mp3,./data/images/rock/27_cover.jpg
黃貫中,年少無知,./data/mp3/rock/28.mp3,./data/images/rock/28_cover.jpg
Nirvana ,In Bloom,./data/mp3/rock/29.mp3,./data/images/rock/29_cover.jpg
Red Hot Chili Peppers,Dani California,./data/mp3/rock/30.mp3,./data/images/rock/30_cover.jpg
